x,y,id
11.45,48.2,0
11.451,48.2,1
11.452,48.2,2
11.453,48.2,3
11.454,48.2,4
11.455,48.2,5
11.456,48.2,6
11.457,48.2,7
11.458,48.2,8
11.459,48.2,9
11.46,48.2,10
11.461,48.2,11
11.462,48.2,12
11.463,48.2,13
11.464,48.2,14
11.465,48.2,15
11.466,48.2,16
11.467,48.2,17
11.468,48.2,18
11.469,48.2,19
11.47,48.2,20
11.471,48.2,21
11.472,48.2,22
11.473,48.2,23
11.474,48.2,24
11.475,48.2,25
11.476,48.2,26
11.477,48.2,27
11.478,48.2,28
11.479,48.2,29
11.48,48.2,30
11.481,48.2,31
11.482,48.2,32
11.483,48.2,33
11.484,48.2,34
11.485,48.2,35
11.486,48.2,36
11.487,48.2,37
11.488,48.2,38
11.489,48.2,39
11.49,48.2,40
11.491,48.2,41
11.492,48.2,42
11.493,48.2,43
11.494,48.2,44
11.495,48.2,45
11.496,48.2,46
11.497,48.2,47
11.498,48.2,48
11.499,48.2,49
11.5,48.2,50
11.501,48.2,51
11.502,48.2,52
11.503,48.2,53
11.504,48.2,54
11.505,48.2,55
11.506,48.2,56
11.507,48.2,57
11.508,48.2,58
11.509,48.2,59
11.51,48.2,60
11.511,48.2,61
11.512,48.2,62
11.513,48.2,63
11.514,48.2,64
11.515,48.2,65
11.516,48.2,66
11.517,48.2,67
11.518,48.2,68
11.519,48.2,69
11.52,48.2,70
11.521,48.2,71
11.522,48.2,72
11.523,48.2,73
11.524,48.2,74
11.525,48.2,75
11.526,48.2,76
11.527,48.2,77
11.528,48.2,78
11.529,48.2,79
11.53,48.2,80
11.531,48.2,81
11.532,48.2,82
11.533,48.2,83
11.534,48.2,84
11.535,48.2,85
11.536,48.2,86
11.537,48.2,87
11.538,48.2,88
11.539,48.2,89
11.54,48.2,90
11.541,48.2,91
11.542,48.2,92
11.543,48.2,93
11.544,48.2,94
11.545,48.2,95
11.546,48.2,96
11.547,48.2,97
11.548,48.2,98
11.549,48.2,99
11.55,48.2,100
11.551,48.2,101
11.552,48.2,102
11.553,48.2,103
11.554,48.2,104
11.555,48.2,105
11.556,48.2,106
11.557,48.2,107
11.558,48.2,108
11.559,48.2,109
11.56,48.2,110
11.561,48.2,111
11.562,48.2,112
11.563,48.2,113
11.564,48.2,114
11.565,48.2,115
11.566,48.2,116
11.567,48.2,117
11.568,48.2,118
11.569,48.2,119
11.57,48.2,120
11.571,48.2,121
11.572,48.2,122
11.573,48.2,123
11.574,48.2,124
11.575,48.2,125
11.576,48.2,126
11.577,48.2,127
11.578,48.2,128
11.579,48.2,129
11.58,48.2,130
11.581,48.2,131
11.582,48.2,132
11.583,48.2,133
11.584,48.2,134
11.585,48.2,135
11.586,48.2,136
11.587,48.2,137
11.588,48.2,138
11.589,48.2,139
11.59,48.2,140
